artist	title
Train	Hey_ Soul Sister
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner	Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)
Miranda Lambert	Gunpowder & Lead
Taylor Swift	Change
Passion Pit	Sleepyhead
Kid Cudi	Sky Might Fall
Steve Bug	Smackman
Charttraxx Karaoke	Fireflies
OneRepublic	Secrets
Kings Of Leon	Revelry
Train	Marry Me
Usher featuring will.i.am	OMG
Lil Wayne / Eminem	Drop The World
Sam Cooke	Ain't Misbehavin
Soltero	Hands Up
Kings Of Leon	Use Somebody
Guns N' Roses	Don't Cry (Original)
Justin Timberlake	Cry Me A River
Aerosmith	Crazy
Coldplay	Clocks
Coldplay	Strawberry Swing
Coldplay	Life In Technicolor ii
Coldplay	The Scientist
Coldplay	In My Place
Coldplay	Lost!
Coldplay	Yellow
Coldplay	Speed Of Sound
Kid Cudi	Cudi Zone
Kelly Clarkson	Already Gone
Five Finger Death Punch	Never Enough
Max Richter - Tilda Swinton	Shadow Journal
MSTRKRFT	Easy Love
La Roux	Bulletproof
Radiohead	Subterranean Homesick Alien
Die Mooskirchner	Frisch und g'sund
Usher	There Goes My Baby
Brad Paisley	She's Everything
Alliance Ethnik	Représente
Daft Punk	Harder Better Faster Stronger
The Rolling Stones	Jumping Jack Flash
Base Ball Bear	Sayonara-Nostalgia
Frightened Rabbit	Yes_ I Would
The Lonely Island / Julian Casablancas	Boombox
Daft Punk	Aerodynamic
Foo Fighters	Everlong
Luke Bryan	Rain Is A Good Thing
Daft Punk	Face To Face
Daft Punk	Digital Love
Air France	Never Content
Tag Team	Whoomp! There It Is
LMFAO	Bounce
Amos Lee	Arms Of A Woman
Hollywood Undead	Everywhere I Go
Daft Punk	Around The World (Radio Edit)
Tycho	The Disconnect
Creedence Clearwater Revival	Bad Moon Rising
J. Karjalainen & Mustat Lasit	Sinisten tähtien alla
Daft Punk	One More Time (Short Radio Edit)
Daft Punk	Crescendolls
The Rolling Stones	Angie
Daft Punk	Too Long
The Killers	Smile Like You Mean It
Postal Service	The District Sleeps Alone Tonight (Album)
Justice	DVNO
Drowning Pool	Reason I'm Alive (Explicit)
London After Midnight	Demon
The xx	Fantasy
Eminem	Criminal
Vampire Weekend	M79 (Album)
Vampire Weekend	Horchata
Justice	Let There Be Light (album version)
Vampire Weekend	Bryn (Album)
Daft Punk	Voyager
Vampire Weekend	Walcott (Album)
Vampire Weekend	The Kids Dont Stand A Chance (Album)
Looptroop	Long Arm Of The Law
Christina Aguilera	Genie In A Bottle
Shinedown	Sound Of Madness (Album Version)
Miley Cyrus	Full Circle
Dynamite Deluxe	Wie Jetzt
Justin Bieber / Usher	First Dance
Lily Allen	Everythings Just Wonderful
Big Tymers	Snake
Vampire Weekend	I Stand Corrected (Album)
Tiny Vipers	They Might Follow You
Avril Lavigne	Complicated
Soltero	Bleeding Hearts
The All-American Rejects	Don't Leave Me
Beirut	Guyamas Sonora
Kosheen	Empty Skies
Erin McKeown	Fast As I Can
The Dears	Lost In The Plot
Postal Service	Sleeping In (Album)
Muse	Map Of The Problematique
Arcade Fire	Crown Of Love
Camera Obscura	Teenager
Boys Like Girls	Hero/Heroine
Metric	Satellite Mind
Prince & The Revolution	Purple Rain
Kings Of Leon	Camaro
the bird and the bee	Birds and the Bees
Fonseca	Arroyito
Roadrunner United	Annihilation By The Hands Of God (Album Version)
Lonnie Gordon	Catch You Baby (Steve Pitron & Max Sanna Radio Edit)
Belle & Sebastian	I'm A Cuckoo
the bird and the bee	Baby
the bird and the bee	What's In The Middle
The All-American Rejects	Drive Away
Ulrich Schnauss	On My Own
The New Pornographers	The Fake Headlines
J-Black & Masta Ace	Hellbound
Devo	Girl U Want (Live)
MGMT	Someone's Missing
Jonas Brothers	Year 3000
Owl City	The Tip Of The Iceberg
DESTRUCTION	I.nner Indulgence
Chris Isaak	Blue Christmas
Michael Jackson	You've Got A Friend
Kings Of Convenience	Riot On An Empty Street
Guns N' Roses	Live And Let Die
Third Eye Blind	Blinded [When I See You]
Ron Carter	I CAN'T GET STARTED
Metric	Gold Guns Girls
Muse	Unnatural Selection
The Pussycat Dolls	Halo
Lil Wayne	Ain't That A Bitch
Muse	City Of Delusion
Justin Bieber	Bigger
Lily Allen	Littlest Things
Creedence Clearwater Revival	Lookin' Out My Back Door
Niccolò Fabi	Costruire
KC And The Sunshine Band	Get Down Tonight (Miami Mix)
The Pussycat Dolls	Magic
Pearl Jam	Yellow Ledbetter
Nevermore	The Psalm Of Lydia
Jake Hess	You And Me Jesus
Muse	Uprising
Deep Blue Something	Breakfast At Tiffany's
Jason Mraz & Colbie Caillat	Lucky (Album Version)
Cassie	Long Way 2 Go (Album Version)
Michael Cretu	The Invisible Man
Green Day	American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version)
The Script	Breakeven
Justin Bieber	Runaway Love
Muse	New Born
Band Of Horses	The Funeral (Album Version)
Plain White T's	Hey There Delilah
matchbox twenty	3AM (LP Version)
Owl City	Vanilla Twilight
Adam Lambert	If I Had You
Cage The Elephant	Ain't No Rest For The Wicked (Original Version)
Paramore	The Only Exception (Album Version)
Jonas Brothers	Kids Of The Future
Live	Mirror Song
Fisher	Rianna
Katy Perry	I Kissed A Girl
3 Doors Down	Here Without You
The Killers	Spaceman
Randy Crawford	Almaz
Travie McCoy	Billionaire [feat. Bruno Mars]  (Explicit Album Version)
Alanis Morissette	Ironic (Acoustic Album Version)
Stephane Pompougnac	Ghosts and Roses
The Killers	This Is Your Life
Taylor Swift	Love Story
Bill Withers	Make Love To Your Mind
B.o.B	Nothin' On You [feat. Bruno Mars] (Album Version)
Spineshank	Smothered (Album Version)
Tommy Sands	Teenage Crush
Chris Brown featuring will.i.am	Picture Perfect
Dominique A	Le Courage Des Oiseaux
Kanye West	Street Lights
John Mayer	Half Of My Heart
Kid Cudi	Simple As...
Dean Evenson	Mossing Around
The Blizzard	Kalopsia
The Killers	When You Were Young
Moose	Do You Remember
Shaggy / Brian & Tony Gold	Hey Sexy Lady
Octopus Project	Rorol
Asia 2001	Epilogue
Skream	Auto-Dub
Menno De Jong feat. Relocate	Solid State
Four Tet	Hilarious Movie Of The 90s
Nelly / David Banner / 8-Ball	Air Force Ones
Daughtry	September
LCD Soundsystem	Us V Them
Radiohead	Exit Music (For A Film)
Justice	TTHHEE PPAARRTTYY
Olivia Newton-John	Hochmah (Interlude)
Hot Chip	We Have Love
Chikita Violenta	War
Johnny Winter	It's My Own Fault
Jonas Brothers	When You Look Me In The Eyes
Reality Check	Masquerade (Reality Check Album Version)
3OH!3 featuring Neon Hitch	Follow Me Down
Flying Lotus	Melt!
Caetano Veloso	O Samba E O Tango
Cut Copy	Lights & Music
Justyna Steczkowska	Noc...
Blackstreet / Dr. Dre	No Diggity
Boys Noize	Arcade Robot
MSTRKRFT	Neon Knights
Boys Noize	Deny Selected
matchbox twenty	Push (Remastered Version)
Dru Hill	We're Not Making Love No More
Cut Copy	Feel The Love
Miley Cyrus	Right Here
Camila	Perderte De Nuevo
John Mayer	Friends_ Lovers Or Nothing
The Black Keys	Your Touch
Kings Of Leon	Milk
O.G.C.	Gunn Clapp
Camila	Coleccionista De Canciones
Yellowcard	Only One
Camila	Alejate De Mi
Cut Copy	Unforgettable Season
LCD Soundsystem	Too Much Love
MSTRKRFT	She's Good For Business
John Mayer	I'm Gonna Find Another You
Holy Fuck	Choppers
Skream	Kut-Off
Huey Lewis & The News	If This Is It
Epica	Incentive (Bonus Track)
Rise Against	The Strength To Go On
The Black Keys	Black Mud
Octopus Project	Marshall Examines His Carcass
The Velvet Underground	Train Round The Bend (LP Version)
Coldplay	We Never Change
The New Pornographers	Execution Day
Nickelback	Never Gonna Be Alone (Album Version)
Justice	Waters Of Nazareth (album version)
Bruce Dickinson	Faith
Saliva	Doperide
Elliott Smith	Ballad Of Big Nothing
Marques Houston	Naked
Usher	Hey Daddy (Daddy's Home)
The Black Keys	Things Ain't Like They Used To Be
Melody Club	Evil Thing
Octopus Project	Hypnopaedia
Boys Noize	The Battery
Akon	Clap Again
The Spades	Gotta Get Some
Colbie Caillat	Realize
Colbie Caillat	Fearless
Deadmau5 & Kaskade	I Remember
Nickelback	Savin' Me
Young Money featuring Lloyd	BedRock (Radio Edit) (feat.Lloyd)
Beirut	The Flying Club Cup
Boys Noize	Oh!
Jason Aldean	Big Green Tractor
Sick Puppies	Maybe
LCD Soundsystem	On Repeat
Metallica	Of Wolf And Man
Iyaz	Replay (Album Version)
Flying Lotus	GNG BNG
Simian Mobile Disco	Simple
Horse Feathers	Hardwood Pews
Boston	More Than A Feeling
Boys Noize	Let´s Buy Happiness
Coldplay	Sparks
Toby Keith	Courtesy Of The Red_ White And Blue (The Angry American)
Disturbed	Overburdened (Album Version)
Eric Prydz	Call On Me
Boston	Foreplay/Long Time
Skream	Tortured Soul
Frightened Rabbit	Skip The Youth
Coldplay	Warning Sign
Beastie Boys	The Maestro
Wolfsheim	Once In A Lifetime
Todd Barry	Sugar Ray (LP Version)
Soltero	Acadian Coast
Jacky Terrasson	Le Jardin d'Hiver
Frankie Avalon	You Are Mine
Rebelution	Safe and Sound
MC Hammer	U Can't Touch This
Holy Fuck	Frenchys
Skream	Colourful
Air France	June Evenings
The Black Keys	You're The One
Lady GaGa	Beautiful_ Dirty_ Rich
Lady GaGa	Teeth
Arcade Fire	Neighborhood #1 (Tunnels)
Sondaschule	Faden
Lady GaGa	Disco Heaven
Bobby Helms	Jingle Bell Rock
Creedence Clearwater Revival	Susie Q
Lady GaGa	Boys Boys Boys
3 Doors Down	Your Arms Feel Like home
Luke Bryan	Someone Else Calling You Baby
Air France	Maundy Thursday
Octopus Project	Responsible Stu
The Presidents of the United States of America	Lump
The Black Keys	Strange Times
LCD Soundsystem	Movement
Flying Lotus	Breathe . Something/Stellar STar
Tom Petty And The Heartbreakers	Learning To Fly
Thievery Corporation	Illumination
The Northern Pikes	Girl With a Problem
Coldplay	A Rush Of Blood To The Head
Kid Cudi	Up Up & Away
Skream	Stagger
Holy Fuck	The Pulse
The Ordinary Boys	Boys Will Be Boys
Cut Copy	Out There On The Ice
Alliance Ethnik	Creil City
Creedence Clearwater Revival	Who'll Stop The Rain
Madder Mortem	Hypnos
Coldplay	Shiver
Deadmau5	Moar Ghosts 'n' Stuff
Octopus Project	Six Feet Up
Iration	Falling
Angels and Airwaves	The Gift
Lily Allen	Friday Night
Boys Noize	Shine Shine
Octopus Project	What They Found
Octopus Project	Lots More Stairs
Coldplay	Don't Panic
The Avett Brothers	I And Love And You
Future Rock	Gears
The Strokes	You Only Live Once
The Black Keys	Tighten Up
Blitzen Trapper	Gold For Bread
The Black Keys	Howlin For You
Coldplay	Fix You
MSTRKRFT	Street Justice
MSTRKRFT	Work On You
Aerosmith	Sweet Emotion
Holy Fuck	Safari
The Dells	Oh What A Night
Zombie Nation	Kernkraft 400
Skillet	Believe (Album Version)
Four Tet	Untangle
Steve Miller	Jungle Love
Kid Cudi	Solo Dolo (nightmare)
The All-American Rejects	Swing_ Swing
Octopus Project	The Adjustor
Sauce Money Featuring Memphis Bleek	What We Do (Explicit) (Feat. Memphis Bleek)
Zac Brown Band	Highway 20 Ride (Album)
PJ Harvey	The Devil
No Doubt	Spiderwebs
The Lonely Island / Jack Black	Sax Man
Dexys Midnight Runners	Come On Eileen
Yung Joc	I'm Him [Explicit Album Version]
Muse	Invincible
LCD Soundsystem	Disco Infiltrator (FK's Infiltrated Vocal)
Sonic Youth	Youth Against Fascism
Audioslave	I Am The Highway
Ennio Morricone	Giocoso gioioso
Lange	Red October
Panteón Rococó	Reality Shock
Nine Inch Nails	Hurt
Rob Base & DJ EZ Rock	It Takes Two
Alliance Ethnik	Sincerité Et Jalousie
Southside Spinners	Luvstruck
Nickelback	Never Again
matchbox twenty	Unwell (Album Version)
John Mayer	Slow Dancing In A Burning Room
Foo Fighters	All My Life
John Mayer	All We Ever Do Is Say Goodbye
Metallica	The Day That Never Comes
Frightened Rabbit	Not Miserable
Foo Fighters	Big Me
Postal Service	Nothing Better (Album)
Bread	Make It With You (LP Version)
Cosmo Vitelli	Robot Soul (Radio Edit)
Ace of Base	The Sign
Rage Against The Machine	Sleep Now In The Fire
Massive Attack	Paradise Circus
Jonas Steur	Sonrisa
Dierks Bentley	What Was I Thinkin'
Emil Gilels/Orchestre de la Société des Concerts du Conservatoire/André Cluytens	Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto
Radiohead	Jigsaw Falling Into Place
Edward Sharpe & The Magnetic Zeros	Up From Below
John Mayer	Perfectly Lonely
Guns N' Roses	Yesterdays
Ismo Alanko Säätiö	Nokian Takana
Rilo Kiley	A Man/Me/Then Jim (Album Version)
Cream	White Room
Robert Palmer	Casting A Spell (Remixed) (1998 Digital Remaster)
Owl City	Dear Vienna
LMFAO	Lil' Hipster Girl
Kurt Vile	Freak Train
ENUR Feat NATASJA	Calabria 2007
Guns N' Roses	Patience
Taylor Swift	I'm Only Me When I'm With You
Green Day	Give Me Novacaine [feat. Green Day & The Cast Of American Idiot] (Album Version)
Switchblade Symphony	Dollhouse
Linkin Park	What I've Done (Album Version)
Modest Mouse	Float On
3OH!3	My First Kiss (Feat. Ke$ha) [Album Version]
Eric Prydz	Pjanoo
Rihanna	We Ride
CCCP - Fedeli Alla Linea	Aghia Sophia (2008 Digital Remaster)
Yung Joc	Patron [Explicit Album Version]
Sev Statik	MIC (Speak Life Album Version)
Garbage	Queer
Taylor Swift	Forever & Always
Bon Jovi	You Give Love A Bad Name
Cobra Starship Featuring Leighton Meester	Good Girls Go Bad (Feat.Leighton Meester) (Album Version)
Two Door Cinema Club	Undercover Martyn
The Pussycat Dolls / Busta Rhymes	Don't Cha
Tab Benoit	Jambalaya
Renegade Soundwave	Pocket Porn (1990)
Sara Bareilles	Between The Lines
Radiohead	Talk Show Host
Guns N' Roses	You Could Be Mine
Guns N' Roses	Nightrain
Guns N' Roses	Civil War
Cheryl Cole	Rain On Me
Vampire Weekend	Campus (Album)
Cage The Elephant	Back Against The Wall
Linkin Park	Bleed It Out [Live At Milton Keynes]
Taylor Swift	Tim McGraw
Jack Johnson	Times Like These
Vampire Weekend	Oxford Comma (Album)
The Avett Brothers	Head Full Of Doubt/Road Full Of Promise
Jack Johnson	Do You Remember
Two Door Cinema Club	What You Know
Death Cab for Cutie	I Will Follow You into the Dark (Album Version)
Kid Cudi / MGMT / Ratatat	Pursuit Of Happiness (nightmare)
Queen	Under Pressure
A Day To Remember	If It Means A Lot To You
California Swag District	Teach Me How To Dougie
Jack Johnson	Crying Shame
MGMT	Time To Pretend
MGMT	Electric Feel
Florence + The Machine	Cosmic Love
Five Finger Death Punch	Bad Company
Modern English	I Melt With You
Soundgarden	Black Hole Sun
Metallica / Marianne Faithfull	The Memory Remains
Brian Poole & The Tremeloes	I Can Dance
The Killers	Losing Touch
Metallica	The Unforgiven II
Disturbed	Numb (Album Version)
Yung Joc featuring Bun B & Young Dro	I'm A G (feat. Bun B & Young Dro) (Explicit Album Version)
Adam Lambert	Whataya Want From Me
Emmy The Great	Mia
Weezer	My Name Is Jonas
Men Without Hats	Safety Dance
Birdman / Lil Wayne / Drake	Money To Blow
Prince	I Wanna Be Your Lover (LP Version)
Rise Against	Hero Of War
Justin Timberlake;Justin Timberlake featuring will.i.am	Damn Girl
Florence + The Machine	Kiss With A Fist
Camila	Todo Cambio
Soundgarden	Fell On Black Days
the bird and the bee	Private Eyes
Metallica	Master Of Puppets
Old 97's	Victoria (LP Version)
Kings Of Leon	Manhattan
House Of Pain	Jump Around (LP Version)
Irene Cara	Flashdance... What A Feeling
Vampire Weekend	Cape Cod Kwassa Kwassa (Album)
Rise Against	Audience Of One
New Boyz	Tie Me Down [feat. Ray J] (Amended Album Version)
Disturbed	Down With The Sickness (Album Version)
LMFAO	Yes
Soltero	Ghost At The Foot Of The Bed
Fleet Foxes	White Winter Hymnal
M Ward	Blakes View
Maroon 5	Won't Go Home Without You
We The Kings	Check Yes Juliet
Masta Killa	Ringing Bells
Alicia Keys	If I Ain't Got You
Vampire Weekend	Mansard Roof (Album)
Beyoncé	Dangerously In Love
Steppenwolf	Magic Carpet Ride
Lady GaGa	Alejandro
Dakota Oak	Baker's Blue Jay Yarn
Van Halen	Runnin' With The Devil
Miley Cyrus	Goodbye
Interpol	Public Pervert
Cat Stevens	Hard Headed Woman
Miley Cyrus	The Climb
Kanye West	Hey Mama
Miley Cyrus	Party In The U.S.A.
Shinedown	The Crow & The Butterfly (Album Version)
Muse	Stockholm Syndrome
The Pussycat Dolls	When I Grow Up
The All-American Rejects	The Last Song
The Nashville Bluegrass Band	Fiddlin' Bill
The Verve	Bitter Sweet Symphony
Muse	Butterflies and Hurricanes
Rage Against The Machine	Bulls On Parade
Lil Scrappy	Lord Have Mercy (Amended Version)
Bon Iver	Creature Fear
Eric Church	Hell On The Heart
Muse	Supermassive Black Hole (Album Version)
Mariah Carey Featuring Cameo	Loverboy
Edward Sharpe & The Magnetic Zeros	Janglin
Linkin Park	One Step Closer (Album Version)
Beyoncé	Get Me Bodied
Mellow Mark	Weckruf
Big Tymers / Gotti / TQ / Mikkey	Sunny Day
Linkin Park	Lying From You (Album Version)
Foreigner	Juke Box Hero (Remastered LP Version )
Coko featuring Kirk Franklin	I Get Joy
Chiddy Bang	Opposite Of Adults
Charlie Louvin	I Think I'll Live
Valerio Scanu	Esisti Tu
Cradle Of Filth	Better To Reign In Hell
Soul II Soul	How Long
Andy Starr	Rockin' Rollin' Stone
Young Money	Roger That
Katy Perry	One Of The Boys
Beyoncé	Ring The Alarm
The All-American Rejects	Too Far Gone
Blink-182	Always
Jonas Brothers	Goodnight And Goodbye
Selena Gomez & The Scene	Naturally
The All-American Rejects	One More Sad Song
Simon Harris	Sample Track 2
Black Eyed Peas	Pump It
Robert Palmer	Addicted To Love
Muse	Starlight
Jason Derulo	Whatcha Say
Lupe Fiasco feat. Sarah Green	Intruder Alert (feat. Sarah Green) (Explicit Album Version)
Cage The Elephant	In One Ear
Cage The Elephant	Drones In The Valley
Shakira	The Day and the Time (featuring Gustavo Cerati)
Foals	Two Steps_ Twice
Miley Cyrus	Start All Over
A Day To Remember	The Downfall Of Us All
Suicidal Tendencies	Go Skate! (Possessed To Skate '97)
Air France	Windmill Wedding
The Pussycat Dolls	Love The Way You Love Me
Creedence Clearwater Revival	Down On The Corner
Steve Miller	Sacrifice
Paulina Rubio	Nada De Ti
Beyoncé feat. Slim Thug	Check On It
Gareth Emery	More Than Everything
Soltero	Michael
Miley Cyrus	The Driveway
Yung Joc	Dope Boy Magic [Feat. Nicholas "Play Boy Nick" Smith_ Corey "Black Owned C Bone" Andrews and Chino Dolla] [Amended Album Version]
Phoenix	Lasso
Cassie	Miss Your Touch (Album Version)
Lil Scrappy	Baby Daddy (Amended Version)
The Bonzo Dog Band	Alley Oop (Girls Version) (2007 Digital Remaster)
Black Eyed Peas	My Humps
Masta Killa	Brooklyn King
Kings Of Leon	Cold Desert
STEVE CAMP	All That I Need
Talk Talk	It's My Life
Fall Out Boy	Our Lawyer Made Us Change The Name Of This Song So We Wouldn't Get Sued
Amy Winehouse	Love Is A Losing Game
NARNIA	Back from hell
Kid Abelha	No Seu Lugar
Interpol	Not Even Jail
Beastie Boys	Sure Shot
Maroon 5	Makes Me Wonder
Clara Hill	Clara meets Slope - Hard To Say
Amy Winehouse	Wake Up Alone
Alceu Valença	Recado Falado (Metrô Da Saudade)
Erin Bode	Here_ There And Everywhere
Frumpies	Fuck Kitty
Alice In Chains	Man In The Box
The Cardigans	Lovefool
MGMT	It's Working
MGMT	I Found A Whistle
Thursday	Voices On A String (Album Version)
Filo + Peri	Dance with a Devil
Eagles	Hotel California
Natalie Imbruglia	Torn
Ace of Base	Beautiful Life
Envio	Touched By The Sun
The Grascals	Where Corn Don't Grow
Justin Timberlake	What Goes Around...Comes Around
Foo Fighters	The Pretender
Culture Beat	Mr Vain
Beyoncé	Halo
The White Stripes	Seven Nation Army (Album Version)
Owl City	The Saltwater Room
Black Eyed Peas	Imma Be
Eminem / Nate Dogg	'Till I Collapse
Incubus	Wish You Were Here
Metallica	Enter Sandman
Avril Lavigne	My Happy Ending
Kid Cudi Vs Crookers	Day 'N' Nite
Justin Bieber	One Time
Linkin Park	Crawling (Album Version)
Lady GaGa	Monster
Lady GaGa / Colby O'Donis	Just Dance
Justin Bieber	Down To Earth
Nickelback	Far Away (Album Version)
Justin Bieber	U Smile
Bon Jovi	Livin' On A Prayer
The All-American Rejects	Gives You Hell
Sean Kingston and Justin Bieber	Eenie Meenie
Justin Bieber	Love Me
Eminem / Dina Rae	Superman
Radiohead	Karma Police
Feist	The Limit To Your Love
Eminem	Mockingbird
Nirvana	Been A Son
Rihanna	Te Amo
Pearl Jam	Black
Justin Bieber	That Should Be Me
Usher Featuring Lil' Jon & Ludacris	Yeah!
Florence + The Machine	I'm Not Calling You A Liar
Soltero	Step Through The Door
Skillet	Hero (Album Version)
Nickelback	How You Remind Me
Enigma	Knocking On Forbidden Doors
Rihanna	Don't Stop The Music
Florence + The Machine	Between Two Lungs
3 Doors Down	Kryptonite
OneRepublic	All The Right Moves
DJ Dizzy	Sexy Bitch
Evanescence	Bring Me To Life
Second Hand Serenade	Fall For You
Eminem	My Name Is
Florence + The Machine	Rabbit Heart (Raise It Up)
Florence + The Machine	You've Got The Love
Eminem	Hailie's Song
The Lonely Island / T-Pain	I'm On A Boat
Linkin Park	In The End (Album Version)
Guns N' Roses	Paradise City
Owl City	Meteor Shower
Rihanna	Take A Bow
Billy Currington	That's How Country Boys Roll
Jack Johnson	Bubble Toes
Taylor Swift	You Belong With Me
Justin Bieber	Stuck In The Moment
Drake / Kanye West / Lil Wayne / Eminem	Forever
The Ruts	West One (Shine On Me)
Creedence Clearwater Revival	Born On The Bayou
Rise Against	Savior
Britney Spears	Toxic
Justin Bieber	One Less Lonely Girl
Muse	Resistance
Eagle-Eye Cherry	Save Tonight
Black Eyed Peas	I Gotta Feeling
Method Man / Ghostface Killah / Solomon Childs / Streetlife	Smooth Sailing Remix
Enrique Iglesias	Hero
DJ Khaled	All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross)
L'âme Immortelle	Brother Against Brother
Alice In Chains	Would?
Blink-182	Every Time I Look For You
Metallica	One
Justin Bieber	Favorite Girl
Dr. Dre	Xxplosive
Nirvana	Heart Shaped Box
Days Of The New	Provider
Green Day	Holiday [feat. Green Day & The Cast Of American Idiot] (Album Version)
Beastie Boys	Unite (2009 Digital Remaster)
The Smiths	What Difference Does It Make?
Cartola	Tive Sim
Five Iron Frenzy	Canada
My Chemical Romance	Welcome To The Black Parade (Album Version)
Pavement	Mercy:The Laundromat
Weezer	Buddy Holly
Another Sunny Day	Rio
Justin Bieber	Common Denominator
The Casualties	Fight For Your Life
Cat Stevens	The First Cut Is The Deepest
Mark Otten	Kalopsia
Radiohead	15 Step
the bird and the bee	My Love
Pavel Dobes	Vzpominky IV.
Nirvana	Dumb
The Alter Boys	Docking Bay 94
Subhumans	Rain
Radiohead	House Of Cards
The New Pornographers	From Blown Speakers
MGMT	Of Moons_ Birds & Monsters
DeGarmo & Key	When The Son Begins To Reign (Degarmo And Key Album Version)
Two Door Cinema Club	I Can Talk
Gian Marco	Volveré
The Killers	Bones
Radiohead	Weird Fishes/Arpeggi
Avril Lavigne	Things I'll Never Say
The Killers	Sam's Town
Faith No More	Easy
Klaus Schulze	North Of the Yukon
Frightened Rabbit	FootShooter
Dru Hill	I Should Be...
The All-American Rejects	Dirty Little Secret
Jack Johnson	If I Could
Spandau Ballet	True
Big Bopper	Chantilly Lace
Yeasayer	I Remember
Camera Obscura	My Maudlin Career
Bananarama	Venus
The Human League	Don't You Want Me (Original Version)
Plain White T's	You And Me
The Smiths	There Is A Light That Never Goes Out
3OH!3	IMNOTYOURBOYFRIENDBABY (Amended Album Version)
The Creation	Making Time
Frightened Rabbit	Things
Florence + The Machine	My Boy Builds Coffins
Pat Metheny	Change of Heart
Tears For Fears	Head Over Heels
Sade	Is It A Crime
Tears For Fears	Everybody Wants To Rule The World
The Human League	Human
Avril Lavigne	Tomorrow
